Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_fico_range_low","sec_app_fico_range_high","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"104160129","","6000","6000","6000"," 36 months","  7.24%","185.93","A","A3","Program Manager","3 years","RENT","125000","Source Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104160129","","credit_card","Credit card refinancing","981xx","WA","9.25","0","Jul-2004","690","694","1","54","","16","0","9571","41.3%","27","w","0.00","0.00","6553.1173417886","6553.12","6000.00","553.12","0.0","0.0","0.0","Jan-2019","2620.31","","Mar-2020","744","740","0","54","1","Individual","","","","0","0","60622","1","11","2","2","3","51051","103","1","2","6129","83","23200","1","1","1","4","3789","13629","41.3","0","0","152","149","7","3","0","7","","4","","9","3","3","5","5","22","5","5","3","16","0","0","0","3","59.1","20","0","0","72865","60622","23200","49665","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104170260","","17000","17000","17000"," 36 months","  7.49%","528.73","A","A4","Air Traffic Controller","10+ years","MORTGAGE","120000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104170260","","debt_consolidation","Debt consolidation","840xx","UT","8.41","0","Oct-2005","735","739","0","72","89","9","1","15406","31.6%","34","w","0.00","0.00","17282.802792422","17282.80","17000.00","282.80","0.0","0.0","0.0","Jun-2017","16768.22","","Mar-2020","789","785","0","75","1","Individual","","","","0","0","290743","0","2","1","1","9","33276","86","0","2","5681","56","48800","1","0","1","3","32305","32394","32.2","0","0","137","119","24","9","2","24","","9","","0","4","4","5","6","24","6","8","4","9","0","0","0","1","94.1","20","1","0","374071","48682","47800","38667","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"103952006","","14000","14000","14000"," 60 months"," 12.74%","316.69","C","C1","Relocation Specialist","9 years","RENT","49960","Not Verified","Mar-2017","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=103952006","","debt_consolidation","Debt consolidation","980xx","WA","9.3","0","May-1990","715","719","0","","90","8","1","3453","22%","21","w","0.00","0.00","6388.3","6388.30","3722.74","2665.56","0.0","0.0","0.0","Dec-2018","316.69","","May-2019","509","505","0","","1","Individual","","","","0","0","10773","0","1","0","1","13","7320","73","0","1","3453","42","15700","1","0","0","2","1347","11247","23.5","0","0","34","322","24","13","2","24","","13","","0","1","1","6","12","2","7","17","1","8","0","0","0","0","100","16.7","1","0","25700","10773","14700","10000","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"103347407","","9900","9900","9900"," 36 months","  5.32%","298.14","A","A1","Radtech","10+ years","MORTGAGE","53000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=103347407","","debt_consolidation","Debt consolidation","307xx","GA","19.47","1","Apr-2006","730","734","0","16","","10","0","6585","34.5%","22","f","0.00","0.00","10471.7527574774","10471.75","9900.00","571.75","0.0","0.0","0.0","Aug-2018","6005.5","","Mar-2020","779","775","0","","1","Individual","","","","0","0","146116","0","3","0","1","22","36633","75","0","0","2756","64","19100","0","1","0","1","14612","7699","41.7","0","0","131","115","36","22","1","36","16","","16","0","2","3","4","5","12","6","9","3","10","0","0","0","0","90.5","0","0","0","184966","43218","13200","48908","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"103470623","","15400","15400","15400"," 60 months"," 11.39%","337.84","B","B3","Social worker","10+ years","MORTGAGE","95000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=103470623","","debt_consolidation","Debt consolidation","068xx","CT","11.52","0","Dec-1998","730","734","0","34","","20","0","12675","35.1%","35","f","0.00","0.00","18152.9110117906","18152.91","15400.00","2752.91","0.0","0.0","0.0","May-2019","1181.4","","Jul-2019","754","750","0","","1","Individual","","","","0","0","490036","0","8","2","4","7","145656","102","0","1","4600","88","36100","1","0","1","5","24502","14163","45.1","0","0","219","156","16","7","1","16","","10","","0","5","7","6","9","17","11","17","7","20","0","0","0","2","97.1","16.7","0","0","579945","158331","25800","143395","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104047067","","10000","10000","10000"," 36 months","  7.99%","313.32","A","A5","Pipelayer ","1 year","RENT","69000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104047067","","debt_consolidation","Debt consolidation","433xx","OH","27.69","0","Jan-2004","695","699","1","","117","9","1","9625","52.9%","14","f","0.00","0.00","11268.96","11268.96","10000.00","1268.96","0.0","0.0","0.0","Mar-2020","624.96","","Mar-2020","554","550","0","","1","Individual","","","","0","777","61585","1","4","1","3","11","51960","70","1","2","3876","64","18200","2","1","2","5","6843","7419","47.8","0","0","158","100","6","6","0","51","","6","","0","3","4","3","3","8","5","6","4","9","0","0","0","2","100","33.3","1","0","89165","61585","14200","70965","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104048642","","10000","10000","10000"," 36 months","  7.49%","311.02","A","A4","Product Manager","4 years","RENT","85000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104048642","","debt_consolidation","Debt consolidation","021xx","MA","17.68","0","Apr-2007","750","754","0","64","","12","0","7668","48.5%","26","f","0.00","0.00","11068.3970224134","11068.40","10000.00","1068.40","0.0","0.0","0.0","Jun-2019","2307.46","","Jun-2019","809","805","0","","1","Individual","","","","0","0","52149","0","9","0","1","16","44481","62","0","1","7668","59","15800","1","0","0","2","4346","8132","48.5","0","0","119","111","24","16","0","24","","17","","0","1","1","3","3","23","3","3","1","12","0","0","0","0","96.2","0","0","0","88045","52149","15800","72245","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104280288","","3025","3025","3025"," 36 months","  6.99%","93.39","A","A2","Recruiter","10+ years","MORTGAGE","83000","Not Verified","Mar-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104280288","","vacation","Vacation","301xx","GA","20.76","0","Oct-1994","695","699","0","","","13","0","45915","67.3%","24","w","0.00","0.00","3359.63","3359.63","3025.00","334.63","0.0","0.0","0.0","Mar-2020","93.33","Apr-2020","Mar-2020","704","700","0","","1","Individual","","","","0","0","169986","1","4","0","2","17","16235","96","1","1","11947","73","68200","1","5","2","3","13076","14205","68.6","0","0","107","269","4","4","1","4","","0","","0","5","8","5","8","10","8","13","8","13","0","0","0","1","100","40","0","0","221415","62150","45300","16961","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104070168","","9000","9000","9000"," 36 months"," 11.39%","296.32","B","B3","SUPERINTENDANT","10+ years","MORTGAGE","60000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104070168","","medical","Medical expenses","761xx","TX","19.58","0","Apr-2000","780","784","0","","","13","0","20779","30%","25","w","0.00","0.00","10242.534000243","10242.53","9000.00","1242.53","0.0","0.0","0.0","Oct-2018","5216.48","","Apr-2019","729","725","0","","1","Individual","","","","0","0","46443","1","2","1","2","11","11633","63","1","2","3837","37","69200","0","5","0","4","3573","25905","33.1","0","0","188","203","6","6","1","6","","","","0","6","8","7","7","9","10","15","8","13","0","0","0","2","100","0","0","0","139437","32412","38700","18400","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"104210150","","12000","12000","12000"," 36 months","  6.99%","370.48","A","A2","signmaker/waterjet","10+ years","MORTGAGE","56000","Not Verified","Mar-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=104210150","","home_improvement","Home improvement","852xx","AZ","17.9","0","Aug-1995","775","779","0","","","13","0","6665","24%","28","w","0.00","0.00","12773.2723964492","12773.27","12000.00","773.27","0.0","0.0","0.0","May-2018","8001.3","","Mar-2020","704","700","0","","1","Individual","","","","0","0","139230","0","2","0","3","13","14875","63","0","0","1835","42","27800","2","8","0","4","10710","17592","20","0","0","248","259","33","13","5","33","","17","","0","4","7","7","7","9","10","14","7","13","0","0","0","0","100","0","0","0","172161","21540","22000","23500","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
